id,score,scLivingspaceSqmPrice,scLotareaSqmPrice,scPurchasePrice,scPricetrend,scCondition,scFiring_type,yearConstructed,lotArea,livingSpace,condition,noRooms,purchasePrice,pricepersqmlivingspace,pricepersqmlotarea
133,0.7,1,1,0.94,0.56,0.7,0,1978,1800,220,refurbished,5,759000,3450,421.6666666666667
135,0.54,1,1,0.98,0.25,0,0,1950,843,620,no_information,10,279000,450,330.9608540925267
136,0.6,1,1,0.98,0.59,0,0,1943,5250,360,no_information,12,290000,805.5555555555555,55.23809523809524
137,0.66,1,1,0.99,0.34,0.6,0,1939,200,65,well_kept,3,120000,1846.1538461538462,600
139,0.69,1,1,0.97,0.45,0.7,0,1920,244,105,modernized,5,365000,3476.190476190476,1495.9016393442623
141,0.62,1,1,0.9299999999999999,0.79,0,0,2003,915,140,no_information,5,800000,5714.285714285715,874.3169398907104
142,0.56,1,1,0.96,0.38,0,0,2012,295,285,no_information,14,480000,1684.2105263157894,1627.1186440677966
143,0.65,1,1,0.89,0.24,0.8,0,2007,740,200,fully_renovated,6,1350000,6750,1824.3243243243244
144,0.68,1,1,0.97,0.53,0.6,0,1956,345,216,well_kept,9,385000,1782.4074074074074,1115.9420289855072
145,0.68,1,1,0.98,0.33,0.8,0,1965,2212,247,fully_renovated,6,268000,1085.0202429149797,121.15732368896926
146,0.73,1,1,0.96,0.41,1,0,2020,278,126,first_time_use,4,449000,3563.4920634920636,1615.1079136690648
147,0.75,1,1,0.96,0.52,1,0,1965,673,174,first_time_use,6,425000,2435.809261806511,631.5007429420505
148,0.68,1,0.99,0.9299999999999999,0.54,0.6,0,1935,252,187,well_kept,8,890000,4736.309935607472,3531.746031746032
149,0.49,1,1,0.75,0.17,0,0,1952,985,420,no_information,8,2975000,7083.333333333333,3020.304568527919
150,0.54,1,1,0.94,0.32,0,0,1982,7340,230,no_information,10,745000,3239.1304347826085,101.49863760217984
151,0.69,1,1,0.98,0.45,0.7,0,1968,1321,310,refurbished,9,207500,669.3548387096774,157.0779712339137
152,0.62,1,1,0.99,0.74,0,0,1850,316,135,need_of_renovation,4,100000,740.7407407407408,316.45569620253167
153,0.53,1,1,0.98,0.19,0,0,1914,1539,358,no_information,10,298000,832.4022346368715,193.63222871994802
155,0.68,1,1,0.98,0.38,0.7,0,1960,501,75,modernized,4,198000,2640,395.20958083832335
156,0.67,1,1,0.98,0.43,0.6,0,1975,764,172,well_kept,6.5,249000,1442.057103144727,325.91623036649213
157,0.68,1,1,0.97,0.52,0.6,0,1970,609,148,well_kept,4,415000,2804.054054054054,681.4449917898194
159,0.72,1,1,0.98,0.42,0.9,0,1974,557,100,first_time_use_after_refurbishment,3.5,236000,2360,423.6983842010772
160,0.78,1,1,0.97,0.79,0.9,0,2017,738,160,mint_condition,4,419999,2624.99375,569.1043360433605
161,0.68,1,1,0.97,0.52,0.6,0,1957,220,85,well_kept,6,319999,3764.6941176470586,1454.540909090909
162,0.7,1,1,0.94,0.39,0.9,0,1998,219,148,mint_condition,5,675000,4560.810810810811,3082.1917808219177
165,0.52,1,1,0.96,0.16,0,0,2021,388,144,no_information,5.5,491000,3409.722222222222,1265.4639175257732
166,0.52,1,1,0.96,0.16,0,0,2021,367,144,no_information,5.5,495000,3437.5,1348.773841961853
167,0.58,1,1,0.97,0.49,0,0,1928,180,241,no_information,10,349000,1448.1327800829877,1938.888888888889
170,0.66,1,1,0.92,0.47,0.6,0,1906,749,315,well_kept,14,998000,3168.253968253968,1332.4432576769025
171,0.69,1,1,0.97,0.49,0.7,0,1958,146,150,modernized,8,349000,2326.6666666666665,2390.4109589041095
172,0.65,1,1,0.97,0.31,0.6,0,1981,800,180,well_kept,8,410000,2277.777777777778,512.5
173,0.73,1,1,0.97,0.73,0.7,0,1964,1047,140,refurbished,4,359000,2564.285714285714,342.8844317096466
174,0.68,1,0.99,0.9299999999999999,0.38,0.8,0,1956,200,150,fully_renovated,7,805000,5366.666666666667,4025
175,0.76,1,1,0.96,0.6,1,0,2021,385,161,first_time_use,5,525000,3244.746600741656,1363.6363636363637
176,0.7,1,1,0.97,0.51,0.7,0,1916,150,70,modernized,3,419000,5985.714285714285,2793.3333333333335
177,0.59,1,1,1,0.52,0,0,1933,749,15,no_information,1,12000,800,16.02136181575434
179,0.75,1,1,0.96,0.53,1,0,2020,297,136,first_time_use,5.5,509900,3749.264705882353,1716.8350168350169
180,0.64,1,1,0.99,0.25,0.6,0,1929,681,180,well_kept,6,160000,888.8888888888889,234.94860499265786
181,0.75,1,1,0.94,0.57,1,0,2020,263,142,first_time_use,5.5,724900,5104.929577464789,2756.2737642585553
182,0.75,1,1,0.96,0.53,1,0,2020,173,136,first_time_use,5.5,469900,3455.1470588235293,2716.184971098266
183,0.75,1,1,0.96,0.53,1,0,2020,177,136,first_time_use,5.5,489900,3602.205882352941,2767.7966101694915
184,0.74,1,1,0.96,0.48,1,0,2020,341,134,first_time_use,5.5,499900,3730.597014925373,1465.9824046920821
185,0.75,1,1,0.94,0.57,1,0,2020,347,142,first_time_use,5.5,724900,5104.929577464789,2089.048991354467
186,0.75,1,1,0.95,0.54,1,0,2020,292,134,first_time_use,5.5,579900,4327.611940298508,1985.958904109589
187,0.74,1,1,0.96,0.48,1,0,2020,206,134,first_time_use,5.5,459900,3432.089552238806,2232.5242718446602
188,0.75,1,1,0.95,0.54,1,0,2020,316,134,first_time_use,5.5,574900,4290.298507462687,1819.3037974683543
189,0.74,1,1,0.96,0.48,1,0,2020,213,134,first_time_use,5.5,449900,3357.4626865671644,2112.2065727699533
