ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01054136,84.85,81.82,81.82
01054138,92.05,84.82,0.72
01054140,1.92,0.0,0.0
01054141,66.0,64.0,64.0
01054142,79.33,79.33,79.33
01054143,0.82,0.0,0.0
01054144,98.63,98.05,98.05
01054145,3.17,1.59,1.59
01054146,86.3,83.56,83.56
01054148,12.93,0.0,0.0
01054149,99.68,99.62,52.3
01054150,12.62,9.71,9.71
01054152,70.52,67.33,1.0
01054154,61.25,61.25,61.25
01054156,86.26,73.48,0.0
01054157,2.04,0.0,0.0
01054158,6.06,0.0,0.0
01054159,81.18,64.33,3.09
01054160,100.0,0.37,0.37
01054161,73.57,65.98,2.25
01054162,75.85,75.85,75.85
01054163,89.19,75.0,0.0
01054164,97.93,91.08,1.91
01054165,22.32,6.25,1.79
01054166,37.24,25.72,0.62
01054167,85.17,82.7,70.15
01054168,99.39,98.75,69.83
01055001,68.9,63.09,35.91
01055002,5.08,1.83,1.83
01055004,99.59,98.42,95.82
01055006,53.28,45.41,0.44
01055007,29.54,23.15,2.82
01055010,73.96,73.24,72.88
01055011,84.53,78.06,0.0
01055012,97.35,92.92,80.46
01055014,71.77,58.25,7.16
01055015,59.8,50.21,2.12
01055016,91.39,86.15,73.64
01055017,56.74,47.47,0.46
01055018,37.5,35.21,3.33
01055020,79.87,73.15,3.69
01055021,98.24,96.17,94.04
01055022,74.45,67.51,1.89
01055023,94.85,73.71,43.81
01055024,50.31,40.41,0.94
01055025,97.99,96.8,87.22
01055027,90.42,81.88,69.21
01055028,92.87,86.66,60.25
01055029,7.19,6.59,5.99
01055031,51.89,37.47,0.54
01055032,98.49,95.76,76.05
01055033,96.84,91.32,77.21
01055035,94.45,87.83,79.51
01055036,25.0,11.62,0.88
01055037,48.57,39.91,0.45
01055038,69.09,54.62,1.71
01055039,84.69,76.98,23.57
01055040,97.38,94.47,88.07
01055041,77.78,58.54,0.57
01055042,99.61,97.77,67.43
01055043,23.94,19.21,0.76
01055044,93.53,84.89,52.38
01055046,75.92,69.64,34.19
01056001,91.65,89.6,83.11
01056002,98.0,96.16,96.0
01056003,91.02,91.02,91.02
01056004,92.63,77.58,31.86
01056005,97.17,85.91,56.22
01056006,94.89,94.89,94.89
01056008,91.46,88.62,84.96
01056009,96.48,93.43,90.01
01056010,93.02,93.02,93.02
01056011,17.88,17.22,17.22
01056013,99.08,96.88,96.42
01056014,78.74,65.54,3.06
01056015,99.23,98.16,96.11
01056016,94.28,90.24,85.19
01056017,62.35,21.6,3.09
01056018,99.0,98.0,98.0
01056019,2.4,0.0,0.0
01056020,27.27,19.1,0.13
01056021,98.67,97.71,97.22
01056022,47.95,40.07,40.07
01056023,84.96,67.69,46.89
01056024,83.81,83.73,83.73
01056025,98.06,95.91,4.84
01056026,78.01,78.01,78.01
01056027,94.38,83.13,9.03
01056028,96.85,96.08,94.89
01056029,94.29,87.33,84.18
01056030,84.49,79.98,79.98
01056031,94.87,90.76,74.79
01056032,96.88,89.91,86.16
01056033,24.68,15.27,0.0
01056034,48.05,34.63,7.79
01056035,70.66,64.04,64.04
01056036,71.72,70.6,66.23
01056037,11.31,8.14,0.45
01056038,97.02,97.02,97.02
01056039,99.23,98.44,97.48
01056040,98.92,96.12,92.02
01056041,96.67,94.72,89.33
01056042,66.23,44.3,30.26
01056043,100.0,99.0,99.0
01056044,98.62,95.56,86.28
01056045,4.23,0.79,0.26
01056046,77.19,59.94,0.0
01056047,98.86,98.02,98.02
01056048,95.76,90.84,76.25
01056049,99.01,95.36,89.66
01056050,98.67,97.18,94.65
01056051,100.0,100.0,100.0
01057001,98.12,96.44,95.25
01057002,91.55,90.14,90.14
01057003,97.93,82.99,0.0
01057004,96.92,95.13,87.95
01057005,45.9,21.31,1.64
01057006,3.23,1.08,1.08
01057007,93.12,89.63,88.66
01057008,96.02,96.02,96.02
01057009,93.1,93.1,89.33
01057010,96.86,96.86,96.86
