PLZ,AGS
78256,08335
32423,05770
63450,06435
74921,08226
71034,08115
71093,08115
31691,03257
63801,09671
63699,06440
72124,08415
31749,03257
78479,08335
74321,08118
27324,03256
88630,08437
78465,08335
70190,08111
74722,08225
34289,06633
74731,09676
34379,06633
34388,06633
25786,01051
63637,06435
74746,08225
36093,06631
24613,01061
73079,08117
21629,03353
97267,09677
74429,08127
25499,01056
97204,09679
97262,09679
22081,02000
97502,09678
73432,08136
91625,09571
22147,02000
22885,01062
24148,01002
87730,09778
21039,01053
87463,09780
23867,01060
23795,01060
23845,01062
38176,03157
38539,03151
91613,09575
97499,09678
29369,03151
22929,01062
89435,09773
99759,16062
91725,09571
86871,09778
38550,03151
23556,01003
86733,09779
91462,09575
98528,16054
87645,09777
96191,09471
29597,03360
29499,03354
19260,13076
86943,09181
86316,09771
38486,15081
82435,09180
82272,09179
91054,09572
34277,06633
88527,08426
34399,06633
25489,01056
34346,03159
97941,08128
37635,03255
29643,03358
88287,08436
88131,09776
12059,11000
01689,14627
16356,12060
15745,12061
16225,12060
01187,14612
94145,09272
01189,14612
17440,13075
15528,12067
17438,13075
01825,14628
01819,14628
17322,13075
15306,12064
02625,14625
15295,12067
02791,14626
41169,05116
54439,07235
54597,07232
47877,05166
46399,05554
54308,07235
47805,05114
54570,07233
54578,07233
40545,05111
53879,05366
54427,07235
50769,05315
66839,10044
45481,05117
40627,05111
54349,07235
50825,05315
46286,05562
45966,05562
50735,05315
45149,05113
51377,05316
45899,05513
66280,10041
44225,05913
48161,05515
58579,05962
56220,07137
56271,07143
26434,03455
56412,07143
57583,07132
49610,03459
57078,05970
55234,07331
56472,07132
55437,07339
49078,03404
49596,03459
48336,05570
55435,07339
76831,07337
65347,06439
57271,05970
79725,08337
67473,07332
56269,07138
56182,07137
56322,07137
26670,03457
59077,05915
79238,08315
67823,07133
49586,03459
56348,07141
56377,07141
66999,07340
55624,07134
44894,05911
53804,05382
56295,07137
58313,05954
53577,07138
55619,07133
45276,05113
51145,05315
66606,10046
66564,10043
56814,07135
56812,07135
56843,07231
42279,05124
48488,03454
42897,05120
67435,07316
65614,06533
59505,05974
67271,07332
55122,07315
26939,03461
57548,07132
79100,08311
59757,05958
59320,05570
67819,07333
77960,08317
67808,07333
67475,07332
59759,05958
49434,03460
49074,03404
55270,07339
79274,08315
26203,03458
67482,07337
47533,05154
41844,05370
52441,05358
47906,05166
47918,05166
41236,05116
66693,10042
47803,05114
47799,05114
41464,05162
47178,05112
54340,07235
54523,07231
40219,05111
54578,07233
40215,05111
53520,07131
53879,05366
40229,05111
40882,05158
40625,05111
51063,05315
45138,05113
48455,03456
66299,10041
53177,05314
45889,05513
26506,03452
42349,05124
45699,05562
53840,05382
26529,03452
48727,05558
55491,07140
26826,03457
56645,07137
56626,07137
59399,05558
55483,07134
56288,07140
56589,07138
66907,07336
79367,08316
79594,08336
67701,07335
55595,07133
56249,07143
57629,07143
77963,08317
56422,07143
56244,07143
58840,05962
56594,07132
04910,12062
12679,11000
15738,12061
15746,12061
01169,14612
01159,14612
94089,09272
01731,14628
15370,12064
15562,12064
01259,14612
01324,14612
17424,13075
15236,12053
82547,09173
81249,09162
29478,03354
81245,09162
06268,15088
07768,16074
06333,15085
91230,09574
23974,13074
95361,09477
95445,09462
85778,09174
80337,09162
85283,09186
81543,09162
92355,09373
85748,09184
83679,09173
06425,15089
06246,15088
39175,15086
85405,09178
85467,09177
95237,09475
95694,09472
39264,15082
92269,09376
07554,16076
84434,09177
92449,09376
95676,09377
08543,14523
07987,16076
93095,09375
18181,13003
93092,09375
84149,09274
14828,12069
14793,12069
83253,09187
04179,14713
04565,14729
84164,09279
04289,14713
18334,13073
04329,14713
04683,14729
84513,09183
83349,09189
16837,12068
83373,09189
17252,13071
09243,14524
94371,09278
09399,14521
09217,14522
84489,09171
84337,09277
09228,14511
94526,09271
04774,14730
94577,09271
09405,14521
18435,13073
14480,12054
94086,09275
13585,11000
13599,11000
17279,12073
13469,11000
10707,11000
16552,12065
12307,11000
73116,08117
24358,01058
89616,08425
88456,08426
24972,01059
97950,08128
24340,01058
73557,08136
21129,02000
24402,01059
97762,09672
37079,03159
97249,09679
36163,06631
74575,08127
73574,08136
22607,02000
97209,09679
24631,01058
73566,08135
22767,02000
24251,01058
20144,02000
29229,03351
24161,01058
22391,02000
89291,09775
97724,09673
24147,01002
97424,09662
97334,09675
91607,09571
97517,09672
29359,03351
21039,02000
97421,09662
99988,16064
87760,09778
97526,09678
73495,08136
73497,08136
24306,01057
21339,03355
38543,03151
87671,09777
29367,03151
38239,03102
89426,09773
99846,16063
91611,09571
97437,09674
21403,03355
87459,09777
87657,09777
29549,03360
33333,05754
78655,08325
65812,06436
35586,06532
78176,08326
78658,08325
25859,01054
79807,08337
64665,06432
68542,08226
76709,08215
69514,08226
78661,08325
75331,08236
60431,06412
25881,01054
69121,08221
60320,06412
69181,08226
78594,08327
61184,06440
64397,06432
60386,06412
27729,03356
75038,08215
63065,06413
64405,06432
28201,04011
35110,06635
25718,01051
63456,06435
27305,03251
63486,06435
28307,04011
74934,08226
25719,01051
33014,05762
63683,06440
71065,08115
64750,06437
31715,03257
63937,09676
74366,08118
31688,03257
31840,03252
70794,08116
74177,08125
25767,01058
63840,09676
31626,03256
34396,06633
63633,06435
31860,03252
25596,01061
71672,08118
74255,08125
34633,06634
31542,03257
74740,08225
72584,08415
21683,03359
73249,08116
29693,03358
30890,03241
27419,03357
97836,09677
85132,09176
91795,09176
06567,16065
90443,09564
82299,09179
90455,09564
96257,09478
99625,16068
39164,15083
82205,09188
82402,09190
82347,09190
90610,09574
85110,09176
82275,09179
07330,16073
06469,15089
92334,09373
86736,09779
29575,03360
97483,09674
21354,03355
23558,01003
23911,01053
29584,03360
91590,09571
86486,09772
86869,09777
96184,09674
96194,09471
29413,15081
86859,09181
86987,09190
90556,09573
38474,03151
86511,09771
29410,15081
82442,09180
86643,09185
91807,09577
96123,09471
86554,09771
86666,09185
90431,09564
91330,09474
86551,09771
91094,09474
65594,06533
26382,03405
49176,03459
77756,08317
57392,05958
76879,07337
55239,07331
76877,07337
67590,07331
55120,07315
67229,07332
26135,03403
79848,08337
67363,07334
67126,07338
79843,08315
27798,03458
35690,06532
76777,07334
78052,08326
67227,07311
67374,07338
76344,08215
61479,06434
67354,07338
74749,08225
71573,08119
73269,08116
24890,01059
88379,08436
88525,08426
34320,06633
34355,06611
73349,08117
21643,03359
24809,01058
36211,06632
07570,16076
19399,13076
85456,09177
06184,15088
14715,12063
08541,14523
04249,14713
06800,15082
93189,09372
04129,14713
04603,16077
94368,09278
93185,09372
83355,09189
84513,09171
84543,09171
84558,09171
93495,09372
04880,14730
93437,09372
17153,13071
94562,09271
09116,14511
94469,09271
09120,14511
09487,14521
04769,14730
93453,09372
94239,09276
84359,09277
84364,09277
18439,13073
14089,11000
18439,13073
17129,13075
18528,13073
12165,11000
10789,11000
13349,11000
10825,11000
01609,14627
10781,11000
15831,12072
16348,12060
13127,11000
17495,13075
94142,09272
97280,09679
36037,06631
88368,08436
97259,09679
30159,03241
88436,08426
25495,01056
24622,01058
30655,03241
37247,06636
97291,09679
97723,09672
24646,01058
37214,06636
31275,03241
31177,03254
37581,03155
21228,03353
24107,01002
24534,01004
36404,16063
24247,01058
89073,08421
97228,09679
89189,08425
20097,02000
88481,08425
74589,08127
24641,01060
97618,09673
22113,02000
87480,09780
21035,02000
87758,09778
31234,03157
97342,09675
89340,09774
97493,09678
29358,03351
87487,09780
22949,01062
89192,08425
87767,09778
89537,08135
86498,09778
97525,09678
87549,09780
23824,01060
87541,09780
23823,01060
89415,09773
91617,09571
87499,09780
97491,09674
98630,16069
29386,03151
87654,09777
91460,09575
99991,16064
52525,05370
52076,05334
52064,05334
54597,07232
54597,07233
46459,05154
54636,07232
41747,05166
52372,05358
54331,07235
54298,07235
54455,07235
50126,05362
54576,07233
54338,07235
54429,07235
66352,10041
40591,05111
40629,05111
26571,03452
66620,10046
45219,05113
50737,05315
54484,07231
53340,05382
50996,05315
26723,03402
66130,10041
55758,07133
53225,05314
42555,05158
45527,05954
53572,07138
56859,07135
66877,07335
66987,07340
56070,07111
67685,07335
66955,07317
85276,09186
95365,09477
85293,09186
06647,15084
81377,09162
39343,15083
80335,09162
39443,15089
39576,15090
81541,09162
85609,09184
92289,09371
93343,09273
85598,09175
83734,09182
83727,09182
09623,14522
01776,14628
17337,13071
03246,12062
01307,14612
01987,12066
01328,14612
03229,12066
02991,14625
03116,12071
03051,12052
15898,12067
03159,12071
91154,09576
39397,15085
91790,09577
96196,09471
82346,09188
96260,09478
07429,16073
90537,09574
86673,09185
96328,09476
96342,09476
85302,09186
92361,09373
78087,08326
68159,08222
67122,07338
72293,08237
75334,08236
72294,08237
59969,06635
35584,06532
75210,08236
72299,08237
68789,08226
64390,06432
78607,08327
78554,08327
64283,06411
60596,06412
28717,04011
60313,06412
78588,08327
35418,06531
32108,05766
63067,06413
32758,05766
69256,08226
35469,06531
64354,06432
75449,08236
69436,08226
72119,08416
78579,08327
27246,03251
28329,04011
34630,06634
74847,08225
72479,08417
31618,03256
78355,08335
21745,03352
63579,06435
27337,03361
32816,05766
72419,08437
72138,08416
70439,08111
70178,08111
72657,08116
78464,08335
25782,01051
72760,08415
72764,08415
88682,08435
72666,08116
63636,06435
31700,03257
74196,08125
73257,08116
34295,06634
21717,03359
34393,06633
24855,01059
73779,08116
97843,09677
73268,08116
21397,03355
38106,03101
90616,09575
86660,09779
99897,16067
23629,01055
86860,09777
91710,09577
86500,09772
38327,03158
96151,09674
99734,16062
86807,09777
87677,09777
98559,16066
38479,03151
38448,03103
86920,09181
86456,09772
91564,09571
86391,09772
38836,15085
98667,16069
86956,09190
29456,03354
38462,03154
91093,09572
86674,09771
91804,09176
91166,09576
99095,16051
86949,09181
99102,16071
91080,09572
67737,07335
26683,03453
79362,08316
58849,05962
56346,07141
77933,08317
77694,08317
49492,05566
55545,07133
79688,08336
65558,07141
26340,03455
76887,07337
67729,07333
55457,07339
57399,05966
49134,03459
59269,05570
77839,08216
76829,07337
79271,08316
65549,06533
65343,06439
79875,08337
74747,08225
36286,06632
30926,03241
34399,06633
73095,08117
97791,09677
30900,03241
74653,08126
37127,03159
67489,07337
67591,07331
67598,07331
67159,07332
76776,07334
67599,07331
67595,07331
35687,06532
67585,07339
67245,07338
67133,07338
55246,06414
67578,07331
79805,08337
85447,09177
95185,09475
84107,09274
92681,09377
95680,09479
84435,09177
18106,13003
06231,15088
84405,09177
18057,13003
16845,12063
84066,09278
92442,09376
83556,09187
06779,15082
92439,09376
92685,09374
08261,14523
84189,09274
93192,09372
04317,14713
04318,14713
04316,14713
08289,14521
18314,13073
06905,15091
09337,14524
06888,15091
18465,13073
09247,14511
94574,09271
93471,09276
84371,09277
18445,13073
09669,14522
83487,09172
94209,09276
14558,12069
04916,12062
09434,14521
09509,14521
16556,12065
16559,12065
16562,12065
12203,11000
16567,12065
12167,11000
10715,11000
10827,11000
17489,13075
61462,06434
76139,08212
76646,08215
33605,05711
33609,05711
27478,03352
27753,03401
75236,08236
75387,08235
33813,05766
60487,06412
72224,08235
75378,08235
75239,08236
32049,05758
69488,06431
35037,06534
35039,06534
61194,06440
27252,03251
75059,08215
69257,08226
61203,06440
61137,06435
