baseRent,livingSpace,noRooms,condition,interiorQual,lift,typeOfFlat,telekomUploadSpeed,floor,garden,heatingType,yearConstructed,lon,lat
213.0,61.0,3,5,2.414155260346322,0,2.0,10.0,2,0,2,1989,12.076272909971768,51.674916800000005
375.0,62.4,2,1,2.414155260346322,0,2.5008447819779844,40.0,2,0,1,1929,6.960274910368534,51.478184850000005
380.0,72.0,3,6,3.0,0,2.0,40.0,1,0,2,1993,13.1798843,51.0674053
1149.0,81.0,2,4,3.0,1,2.0,5.0,1,0,1,2011,6.730102729625746,51.23910225
690.0,72.0,3,5,3.0,0,2.0,2.4,3,0,4,1972,6.8253154,50.8098326
438.0,54.0,2,1,2.0,0,1.0,40.0,0,0,2,1963,9.6589141,52.3873408
750.0,95.0,3,5,2.0,0,2.0,40.0,1,0,7,1988,10.592618,48.5691482
320.0,63.8,3,1,2.0,0,2.0,2.4,1,1,1,1954,12.389432159262851,50.82508555
530.0,76.0,3,5,2.0,0,2.0,2.4,3,1,2,1962,7.09415131606183,51.31104785
819.0,126.0,2,1,2.0,0,10.0,40.0,1,0,2,1920,7.336173883194346,51.4769163
425.0,54.41,2,5,2.414155260346322,1,2.0,40.0,8,0,2,1967,10.4325889,53.2374623
383.0,69.72,2,1,2.414155260346322,0,3.0,40.0,2,1,4,1995,14.3598918,52.6441224
450.0,62.0,2,1,2.414155260346322,0,2.5008447819779844,10.0,1,0,2,1935,13.7980217,51.027521
801.27,80.18,2,2,3.0,1,7.0,40.0,3,0,7,2018,7.880290395234365,49.8321455
387.0,64.0,2,3,2.414155260346322,1,2.0,40.0,5,0,2,1985,12.0860572,50.881367
330.0,51.0,2,5,2.0,0,1.0,10.0,0,0,10,1953,7.497282636920051,51.48913485
281.0,57.89,3,1,2.0,0,2.0,2.4,4,0,2,1983,11.9597061,51.4472282
425.0,61.0,3,7,2.0,0,1.0,2.4,0,0,2,1956,8.593883113286886,51.95160335
700.0,65.0,2,1,2.0,0,3.0,40.0,3,0,2,1960,9.0546447,50.0880804
820.0,65.0,3,4,3.0,0,3.0,10.0,3,1,1,1975,10.8405389,52.4445924
361.0,56.0,2,1,2.0,0,2.0,40.0,1,0,4,1938,7.6221902,51.2217961
855.0,57.0,3,1,2.0,0,2.5008447819779844,40.0,4,0,2,1985,6.932597086788972,50.920224700000006
940.0,97.0,3,3,3.0,0,2.0,40.0,2,1,2,1974,10.4434574,52.3040523
650.0,53.0,2,5,3.0,0,2.0,40.0,2,0,4,1996,9.220302862827992,48.5161883
890.0,90.0,2,2,3.0,1,2.0,40.0,0,1,13,2019,9.2705735,52.9075024
303.0,54.19,2,1,2.0,0,2.0,2.4,1,0,2,1993,11.497421943589126,52.1808649
780.0,73.0,2,1,2.0,0,3.0,40.0,4,1,4,1922,9.7508115,52.3880957
619.5,59.0,2,4,3.0,1,2.0,40.0,1,1,2,2010,7.3118354,50.8742067
288.1,59.6,3,6,2.414155260346322,0,2.0,2.4,2,0,2,1961,11.9031377,50.7030676
376.84,60.78,3,1,2.0,0,2.0,10.0,1,0,2,1965,13.92614205,50.9701323
380.0,70.0,2,1,2.0,0,3.0,40.0,3,1,4,1920,7.2074013,51.6127517
460.0,29.5,1,7,3.0,1,2.0,2.4,3,0,1,1990,6.0784462,50.7801018
343.37,62.43,2,4,2.0,0,4.0,2.4,2,0,2,1995,12.4358569,50.9833262
850.0,100.0,3,4,3.0,0,2.0,40.0,1,0,4,1968,8.2218147,48.8061751
420.0,70.0,2,3,3.0,0,5.0,2.4,1,0,3,1993,6.169185971608831,51.0346425
336.0,74.52,4,7,2.414155260346322,0,2.0,40.0,4,0,1,1964,11.9806121,51.3722706
380.0,58.0,2,1,2.0,0,2.0,40.0,2,0,10,1900,6.3877228,51.2541287
420.0,70.0,3,7,2.0,0,2.5008447819779844,40.0,2,0,2,1967,7.216784886021061,51.52668475
400.0,109.4,3,1,2.414155260346322,0,2.0,40.0,0,1,2,1900,12.545258609431208,50.81302615
350.0,75.0,3,5,3.0,0,2.0,2.4,3,1,2,1998,12.899848872294548,50.838458450000005
1100.0,83.13,3,2,2.414155260346322,1,2.0,40.0,4,0,12,2020,8.8192053,47.9869164
1500.0,180.0,4,4,3.0,0,2.0,5.0,1,0,2,1967,10.2775055,47.4082941
1300.0,111.5,4,3,3.0,0,2.0,40.0,3,0,4,1928,9.948909291897808,51.53133595
530.0,46.12,2,3,3.0,0,2.5008447819779844,2.4,3,0,2,1953,9.154865248350951,49.98031705
210.0,46.0,2,1,2.0,0,2.0,40.0,2,1,8,1984,12.1067158,53.1183171
495.0,83.0,2,1,3.0,0,2.0,40.0,2,0,2,1993,9.2058174,52.3234995
325.0,61.4,3,6,2.0,0,2.5008447819779844,2.4,2,0,10,1956,11.102414580032644,52.14191225
421.0,65.0,3,6,2.414155260346322,1,2.0,40.0,2,0,2,1975,12.4248014,51.3547985
530.0,59.0,2,1,2.0,0,2.0,40.0,1,0,2,1988,10.8011114,53.2715951
440.0,44.0,2,6,3.0,0,1.0,10.0,0,0,4,1929,10.7157085,53.8673423
660.0,68.5,3,3,3.0,1,2.0,40.0,3,0,2,2019,6.530637679385983,49.9656857
560.0,84.0,4,1,2.0,0,2.0,10.0,3,0,2,1970,8.748487608344838,50.58024445
1005.0,79.0,2,4,3.0,1,2.0,40.0,2,0,7,2017,7.112713112239077,50.71909015
545.0,66.59,2,4,2.414155260346322,0,2.0,10.0,1,0,4,1994,10.0247901,54.0088965
832.0,79.31,3,5,2.0,0,2.0,10.0,0,0,2,1961,10.1301538,53.5996061
650.0,60.0,2,1,2.0,0,2.0,40.0,3,0,2,1967,8.574381800000001,50.09682235
358.0,63.87,3,5,2.414155260346322,0,2.0,40.0,3,1,1,1976,14.0018256,53.0196436
770.0,81.0,3,4,2.414155260346322,1,2.0,40.0,3,0,7,2012,7.00634215707312,51.4621794
342.99,66.99,3,1,2.0,0,2.5008447819779844,40.0,2,1,1,1962,6.963764224246651,51.56816475
795.0,90.0,2,4,3.0,0,1.0,40.0,0,0,2,1910,9.917770538034189,53.6911138
730.0,80.0,3,7,2.414155260346322,0,3.0,40.0,3,1,2,1975,7.199852894736798,50.8084571
479.0,71.65,3,5,2.0,0,2.0,40.0,3,1,2,1965,7.03587705,51.32810545
225.0,38.0,2,9,1.0,0,2.0,40.0,2,0,4,1910,6.5577272,51.3121611
